thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,241.0,283.0,287.0,257.0,16464.0,52.0,3976.0,-488.0,-14.0,-8.0,-13032.0,2000.0,8056.0,-86.0,102.0,24.0,1.0,A
377.0,241.0,283.0,287.0,257.0,16464.0,204.0,4032.0,-282.0,194.0,-131.0,-13348.0,1836.0,7932.0,-96.0,65.0,-55.0,1.0,A
377.0,241.0,283.0,287.0,257.0,16644.0,108.0,3764.0,-338.0,38.0,-80.0,-13120.0,1908.0,7908.0,-128.0,259.0,-14.0,1.0,A
377.0,241.0,283.0,287.0,257.0,16504.0,68.0,4220.0,-241.0,-18.0,-1.0,-13140.0,2132.0,8100.0,-119.0,115.0,-38.0,1.0,A
377.0,242.0,283.0,287.0,257.0,16476.0,160.0,4040.0,-388.0,-125.0,-61.0,-13172.0,1948.0,8136.0,-122.0,71.0,-132.0,1.0,A
377.0,242.0,283.0,288.0,257.0,16444.0,156.0,4216.0,-349.0,20.0,8.0,-13184.0,1928.0,8064.0,-160.0,106.0,25.0,1.0,A
377.0,242.0,283.0,287.0,257.0,16416.0,96.0,3972.0,-275.0,-112.0,21.0,-13196.0,2064.0,7944.0,-109.0,135.0,62.0,1.0,A
377.0,241.0,283.0,287.0,258.0,16560.0,136.0,3856.0,-307.0,29.0,-40.0,-13168.0,2012.0,7860.0,-147.0,87.0,-103.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16640.0,-52.0,3772.0,-290.0,64.0,-118.0,-13312.0,1992.0,7932.0,-301.0,-145.0,-119.0,1.0,A
377.0,242.0,283.0,287.0,258.0,16628.0,220.0,3780.0,-200.0,-99.0,38.0,-13212.0,1984.0,8104.0,-97.0,29.0,-17.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16704.0,228.0,3516.0,-386.0,-54.0,-77.0,-13244.0,1940.0,7896.0,-90.0,248.0,-162.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16528.0,96.0,4056.0,-368.0,-46.0,-71.0,-13100.0,1924.0,7984.0,-127.0,190.0,-62.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16400.0,-96.0,4268.0,-361.0,2.0,32.0,-13188.0,1872.0,8080.0,-67.0,-23.0,-134.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16496.0,28.0,3976.0,-347.0,-74.0,-45.0,-13328.0,1940.0,7976.0,-72.0,126.0,-82.0,1.0,A
377.0,242.0,284.0,287.0,258.0,16392.0,124.0,4028.0,-438.0,-128.0,-35.0,-13016.0,2168.0,8100.0,-50.0,94.0,-152.0,1.0,A
376.0,242.0,284.0,288.0,258.0,16508.0,-16.0,3976.0,-346.0,65.0,70.0,-13248.0,1856.0,7976.0,-252.0,114.0,-66.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16448.0,0.0,3996.0,-219.0,2.0,-33.0,-13280.0,1772.0,8044.0,-72.0,153.0,-144.0,1.0,A
377.0,242.0,284.0,288.0,258.0,16344.0,-236.0,4068.0,-464.0,-146.0,-1.0,-12988.0,2140.0,7916.0,-100.0,106.0,-74.0,1.0,A
377.0,242.0,284.0,288.0,259.0,16364.0,220.0,4196.0,-163.0,64.0,19.0,-13324.0,2040.0,8120.0,-112.0,113.0,-55.0,1.0,A
